stem,position,category,meaning,who_definition,chinese,target_classes,mechanisms,chemical_classes,indications,examples,infix_required,allowed_infixes,exclusion_rules,priority,source
-mantone,suffix,mechanism_stem,adamantane derivatives,,,,,small_molecule,,amantadine;rimantadine;somantadine;tromantadine;carmantadine;dopamantine;memantine;idramantone,false,,,7,WHO INN Programme
-mapimod,suffix,target_class_stem,mitogen-activated protein (MAP) kinase inhibitors,,莫德,kinase;enzyme,inhibitor,small_molecule,,acumapimod;adezmapimod;balamapimod;bentamapimod;dilmapimod;doramapimod;emprumapimod;losmapimod,false,,,7,WHO INN Programme
-meran,suffix,mechanism_stem,messenger RNA (mRNA),,美仑,,,small_molecule,,abdavomeran;acavameran;famtozinameran;fazulemeran;ganulameran;gindameran;imelasomeran;nadorameran,false,,,7,WHO INN Programme
-mesine,suffix,target_class_stem,sigma receptor ligands,,,,,small_molecule,,blarcamesine;cutamesine;igmesine;panamesine;siramesine,false,,,7,WHO INN Programme
-mestane,suffix,mechanism_stem,aromatase inhibitors,,美坦,,inhibitor,small_molecule,,atamestane;exemestane;formestane;minamestane;plomestane;acemetacin;cinmetacin;clometacin,false,,,7,WHO INN Programme
-mig,suffix,chemical_class_stem,multi-specific immunoglobulins (current monoclonal antibody naming scheme),,,,antibody,monoclonal_antibody,,nofetumomab merpentan,false,,,7,WHO INN Programme
-monam,suffix,mechanism_stem,monobactam antibiotics,,莫南,,inhibitor,small_molecule,infectious disease,mitindomide;carumonam;gloximonam;oximonam;pirazmonam;tigemonam;aztreonam,false,,,7,WHO INN Programme
-morelin,suffix,chemical_class_stem,growth hormone release-stimulating peptides,,瑞林,nuclear_receptor,,peptide,,anamorelin;capromorelin;dumorelin;examorelin;ipamorelin;lenomorelin;macimorelin;pralmorelin,false,,,7,WHO INN Programme
-mostim,suffix,mechanism_stem,macrophage stimulating factors (M-CSF) type substances,,莫司亭,,,small_molecule,,cilmostim;lanimostim;mirimostim,false,,,7,WHO INN Programme
-motide,suffix,mechanism_stem,immunological agents for active immunization,,,,,small_molecule,,abecomotide;adegramotide;alicdamotide;disomotide;ederimotide;elpamotide;etimumotide;graunimotide,false,,,7,WHO INN Programme
-motine,suffix,mechanism_stem,"antivirals, quinoline derivatives",,莫汀,,inhibitor,small_molecule,infectious disease,famotine;memotine,false,,,7,WHO INN Programme
-moxin,suffix,mechanism_stem,"monoamine oxidase inhibitors, hydrazine derivatives",,莫辛,,inhibitor,small_molecule,,benmoxin;cimemoxin;domoxin;octamoxin;carbenzide;etryptamine;fenoxypropazine;pargyline,false,,,7,WHO INN Programme
-mulin,suffix,mechanism_stem,"antibacterials, pleuromulin derivatives",,,,inhibitor,small_molecule,infectious disease,azamulin;lefamulin;pleuromulin;retapamulin;nonathymulin;thymostimulin,false,,,7,WHO INN Programme
-nabant,suffix,target_class_stem,cannabinoid receptor antagonists,,纳班,gpcr,antagonist;agonist,small_molecule,,drinabant;giminabant;ibipinabant;otenabant;rimonabant;rosonabant;surinabant;taranabant,false,,,7,WHO INN Programme
-nepag,suffix,target_class_stem,"prostaglandin receptor agonists, non-prostanoids",,,,agonist,small_molecule,,aganepag;evatanepag;omidenepag;ralinepag;simenepag;taprenepag;selexipag,false,,,7,WHO INN Programme
-nermin,suffix,mechanism_stem,tumour necrosis factor,,,,,small_molecule,,aldafermin;ardenermin;dulanermin;plusonermin;rilunermin alfa;sonermin;tasonermin;tengonermin,false,,,7,WHO INN Programme
-nersen,suffix,mechanism_stem,targeting neurological functions,,,,,small_molecule,,lexanersen;movronersen;nusinersen;rovanersen;rugonersen;tominersen;tadnersen;ulefnersen,false,,,7,WHO INN Programme
-netide,suffix,mechanism_stem,neurological,,,,,small_molecule,,alirinetide;cibinetide;davunetide;orenetide;nerinetide;trofinetide;diamfenetide;doreptide,false,,,7,WHO INN Programme
-nicline,suffix,target_class_stem,nicotinic acetylcholine receptor partial agonists / agonists,,克兰,,agonist,small_molecule,,altinicline;bradanicline;cytisinicline;dianicline;encenicline;facinicline;ispronicline;nelonicline,false,,,7,WHO INN Programme
-nil,suffix,target_class_stem,benzodiazepine receptor antagonists/agonists (benzodiazepine derivatives),,西尼,gpcr,antagonist;agonist,small_molecule,,nitroclofene;nitrocycline;nitrodan;nitrofural;nitrofurantoin;nitromifene;nitroscanate;nitracrine,false,,,7,WHO INN Programme
-nixin,suffix,mechanism_stem,"anti-inflammatory, anilinonicotinic acid derivatives (-)nonacog (see -cog) blood factor IX octakin (see -kin) interleukin-8 analogues and derivatives",,尼辛,immune_checkpoint;cytokine,,small_molecule,inflammatory diseases,butanixin;clonixin;diclonixin;flunixin;isonixin;metanixin;clonixeril;niflumic acid,false,,,7,WHO INN Programme
-opamine,suffix,mechanism_stem,dopaminergic agents dopamine derivatives used as cardiac stimulant/antihypertensives/diuretics,,,gpcr,agonist,small_molecule,cardiovascular disease,butopamine;cliropamine;denopamine;dopamine;fosopamine;ibopamine;octopamine;oxidopamine,false,,,7,WHO INN Programme
-orex,suffix,mechanism_stem,anorexics,,雷司,,,small_molecule,,acridorex;amfepentorex;aminorex;benfluorex;clobenzorex;cloforex;clominorex;difemetorex,false,,,7,WHO INN Programme
-orexant,suffix,target_class_stem,orexin receptor antagonists,,雷生,gpcr,antagonist;agonist,small_molecule,,almorexant;daridorexant;replaces nemorexant;fazamorexant;filorexant;lemborexant;nivasorexant;seltorexant,false,,,7,WHO INN Programme
-orph-,infix,target_class_stem,"opioid receptor antagonists/agonists, morphinan derivatives",,啡烷,gpcr,antagonist;agonist,small_molecule,,acetorphine;alletorphine;buprenorphine;cyprenorphine;desomorphine;diprenorphine;etorphine;homprenorphine,false,,,7,WHO INN Programme
-otermin,suffix,mechanism_stem,bone morphogenetic proteins,,,,,small_molecule,,avotermin;dibotermin alfa;eptotermin alfa;cenegermin;cimaglermin alfa;dapiclermin,false,,,7,WHO INN Programme
-oxef,suffix,mechanism_stem,"antibiotics, oxacefalosporanic acid derivatives",,氧头孢,,inhibitor,small_molecule,infectious disease,flomoxef;latamoxef;celucloral;celiprolol;cellaburate;cellacefate,false,,,7,WHO INN Programme
-oxepin,suffix,mechanism_stem,tricyclic compounds,,,,,small_molecule,,beloxepin;cidoxepin;doxepin;maroxepin,false,,,7,WHO INN Programme
-oxopine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,traboxopine,false,,,7,WHO INN Programme
-pafant,suffix,mechanism_stem,platelet-activating factor antagonists,,帕泛,,antagonist;agonist,small_molecule,thrombosis,apafant;bepafant;dacopafant;foropafant;rocepafant;setipafant;tulopafant,false,,,7,WHO INN Programme
-pamide,suffix,mechanism_stem,"diuretics, sulfamoylbenzoic acid derivatives (could be sulfamoylbenzamide)",,帕胺,,,small_molecule,,alipamide;besulpamide;clopamide;indapamide;tripamide;xipamide;zidapamide;chlorpropamide,false,,,7,WHO INN Programme
-paratide,suffix,mechanism_stem,parathyroid hormone analogues,,,nuclear_receptor,,small_molecule,,abaloparatide;eneboparatide;palopegteriparatide;semparatide;teriparatide,false,,,7,WHO INN Programme
-parinux,suffix,mechanism_stem,synthetic heparinoids,,肝素,,,small_molecule,,fondaparinux sodium;replaces fondaparin sodium;idrabiotaparinux sodium;idraparinux sodium,false,,,7,WHO INN Programme
-pendyl,suffix,mechanism_stem,vasodilators,,,,,small_molecule,cardiovascular disease,cloxypendyl;isothipendyl;oxypendyl;prothipendyl,false,,,7,WHO INN Programme
-peridone,suffix,mechanism_stem,"antipsychotics, risperidone derivatives",,哌酮,,,small_molecule,psychiatric disorders,benperidol;bromperidol;clofluperol;droperidol;abaperidone;belaperidone;cloperidone;iloperidone,false,,,7,WHO INN Programme
-pidem,suffix,mechanism_stem,"hypnotics/sedatives, zolpidem derivatives",,匹坦,,,small_molecule,psychiatric disorders,alpidem;necopidem;saripidem;zolpidem,false,,,7,WHO INN Programme
-piprazole,suffix,mechanism_stem,"psychotropics, phenylpiperazine derivatives",,哌唑,,,small_molecule,,aripiprazole;brexpiprazole;dapiprazole;elopiprazole;enpiprazole;lorpiprazole;mepiprazole;sonepiprazole,false,,,7,WHO INN Programme
-pitant,suffix,target_class_stem,neurokinin NK1 (substance P) receptor antagonist,,,gpcr,antagonist;agonist,small_molecule,,aprepitant;befetupitant;burapitant;casopitant;dapitant;ezlopitant;figopitant;fosaprepitant,false,,,7,WHO INN Programme
-pixant,suffix,target_class_stem,purinoreceptor (P2X) antagonists,,,,antagonist;agonist,small_molecule,,camlipixant;eliapixant;filapixant;gefapixant;sivopixant,false,,,7,WHO INN Programme
-plact,suffix,mechanism_stem,platelet factor 4 analogues and derivatives,,,,,small_molecule,thrombosis,iroplact,false,,,7,WHO INN Programme
-pladib,suffix,mechanism_stem,phospholipase A2 inhibitors,,拉地,,inhibitor,small_molecule,,darapladib;ecopladib;efipladib;fuzapladib,false,,,7,WHO INN Programme
-planin,suffix,chemical_class_stem,glycopeptide antibacterials (Actinoplanes strains),,,,inhibitor,peptide,infectious disease,actaplanin;mideplanin;ramoplanin;teicoplanin,false,,,7,WHO INN Programme
-plasmid,suffix,mechanism_stem,gene therapy substances,,,,,small_molecule,,adlinacogene civaparvovec;aglatimagene besadenovec;aguracingene cadoparvovec;alferminogene tadenovec;alipogene tiparvovec;alnugranogene aldeparvovec;alvamemugene sulseparvovec;avalotcagene ontaparvovec,false,,,7,WHO INN Programme
-plermin,suffix,mechanism_stem,platelet-derived growth factor,,,growth_factor,,small_molecule,thrombosis,becaplermin,false,,,7,WHO INN Programme
-plestim,suffix,mechanism_stem,interleukin-3 analogues and derivatives,,司亭,immune_checkpoint;cytokine,,small_molecule,,daniplestim;muplestim,false,,,7,WHO INN Programme
-plon,suffix,mechanism_stem,"imidazopyrimidine or pyrazolopyrimidine derivatives, used as anxiolytics, sedatives, hypnotics",,普隆,,,small_molecule,psychiatric disorders,adipiplon;divaplon;fasiplon;indiplon;lorediplon;ocinaplon;panadiplon;taniplon,false,,,7,WHO INN Programme
-poride,suffix,mechanism_stem,Na+/H+ antiport inhibitor,,,,inhibitor,small_molecule,,amiloride;cariporide;eniporide;rimeporide,false,,,7,WHO INN Programme
-prazan,suffix,mechanism_stem,"proton pump inhibitors, not dependent on acid activation",,普拉生,,inhibitor,small_molecule,,glurate;revaprazan;soraprazan;tegoprazan;vonoprazan;zastaprazan,false,,,7,WHO INN Programme
-previr,suffix,mechanism_stem,Hepatitis Virus C (HVC) protease inhibitors,,韦,enzyme,inhibitor,small_molecule,,furaprevir;glecaprevir;grazoprevir;narlaprevir;paritaprevir;simaprevir;sovaprevir;telaprevir,false,,,7,WHO INN Programme
-prim,suffix,mechanism_stem,"antibacterials, dihydrofolate reductase (DHFR) inhibitors, trimethoprim analogues",,普林,enzyme,inhibitor,small_molecule,infectious disease,benazeprilat;cilazaprilat;enalaprilat;fosinoprilat;imidaprilat;moexiprilat;perindoprilat;quinaprilat,false,,,7,WHO INN Programme
-pris-,infix,target_class_stem,steroidal compounds acting on progesterone receptors (excluding -gest- compounds),,司-,nuclear_receptor,,small_molecule,,aglepristone;asoprisnil;asoprisnil ecamate;lilopristone;lonaprisan;mifepristone;onapristone;telapristone,false,,,7,WHO INN Programme
-pristin,suffix,mechanism_stem,"antibacterials, streptogramins, protein synthesis inhibitors, pristinamycin derivatives",,普丁,,inhibitor,small_molecule,infectious disease,dalfopristin;efepristin;flopristin;quinupristin,false,,,7,WHO INN Programme
-prodil,suffix,target_class_stem,N-methyl-D-aspartate (NMDA) receptor antagonists,,地尔,gpcr,antagonist;agonist,small_molecule,,dalfopristin;efepristin;flopristin;quinupristin,false,,,7,WHO INN Programme
-prostil,suffix,mechanism_stem,"prostaglandins, anti-ulcer",,前列素,,,small_molecule,gastrointestinal disorders,arbaprostil;deprostil;enprostil;mexiprostil;aminopterin sodium;fosdenopterin;ronopterin;sapropterin,false,,,7,WHO INN Programme
-pultide,suffix,chemical_class_stem,"peptides and proteins, used in pulmonary surfactants",,,,,peptide,,elopultide;lusupultide;obelpultide;redipultide;sinapultide;zelpultide alfa,false,,,7,WHO INN Programme
-quidar,suffix,mechanism_stem,"drugs used in multidrug resistance, quinoline derivatives",,喹达,,,small_molecule,,dofequidar;encequidar;laniquidar;tariquidar;zosuquidar,false,,,7,WHO INN Programme
-quinil,suffix,target_class_stem,"benzodiazepine receptor agonists, also partial or inverse (quinoline derivatives)",,喹尼,,agonist,small_molecule,,abecarnil;gedocarnil;lirequinil;radequinil;replaces resequin;terbequinil;bromazepam;camazepam,false,,,7,WHO INN Programme
-racetam,suffix,mechanism_stem,"amide type nootrope agents, piracetam type",,西坦,,,small_molecule,,aloracetam;aniracetam;brivaracetam;cebaracetam;coluracetam;dimiracetam;doliracetam;dupracetam,false,,,7,WHO INN Programme
-racil,suffix,mechanism_stem,uracil type antineoplastics,,拉西,,,small_molecule,cancer,eniluracil;fluorouracil;gimeracil;oteracil,false,,,7,WHO INN Programme
-rafenib,suffix,target_class_stem,Raf (rapidly accelerated fibrosarcoma) kinase inhibitors,,拉非尼,kinase;enzyme,inhibitor,small_molecule,,agerafenib;belvarafenib;dabrafenib;encorafenib;exarafenib;lifirafenib;naporafenib;plixorafenib,false,,,7,WHO INN Programme
-rasib,suffix,mechanism_stem,Ras protein inhibitors,,,,inhibitor,small_molecule,,adagrasib;divarasib;fulzerasib;garsorasib;opnurasib;salirasib;sotorasib,false,,,7,WHO INN Programme
-relix,suffix,chemical_class_stem,"gonadotropin-releasing-hormone (GnRH) inhibitors, peptides",,,nuclear_receptor,inhibitor,peptide,,abarelix;cetrorelix;degarelix;detirelix;ganirelix;iturelix;ozarelix;prazarelix,false,,,7,WHO INN Programme
-renone,suffix,target_class_stem,"mineralocorticoid receptor (MR, MCR, aldosterone receptor) antagonists",,利酮,,antagonist;agonist,small_molecule,,apararenone;balcinrenone;canrenoic acid;canrenoate;canrenone;dicirenone;drospirenone;esaxerenone,false,,,7,WHO INN Programme
-reotide,suffix,target_class_stem,somatostatin receptor agonists/antagonists,,,,antagonist;agonist,small_molecule,,depreotide;edotreotide;ilatreotide;lanreotide;nendratareotide;nendratareotide uzatansine;oxodotreotide;octreotide,false,,,7,WHO INN Programme
-ribine,suffix,mechanism_stem,ribofuranyl-derivatives of the “pyrazofurin” type,,立宾,,,small_molecule,,azaribine;cladribine;isatoribine;loxoribine;pirazofurin;ribavirin;riboprine;tiazofurine,false,,,7,WHO INN Programme
-rinone,suffix,mechanism_stem,"cardiac stimulants, amrinone derivatives",,力农,,agonist,small_molecule,cardiovascular disease,amrinone;bemarinone;medorinone;milrinone;nanterinone;olprinone;pelrinone;saterinone,false,,,7,WHO INN Programme
-ritide,suffix,chemical_class_stem,natriuretic peptides,,,,,peptide,,anaritide;carperitide;cenderitide;navepegritide;nesiritide;ularitide;vosoritide;leconotide,false,,,7,WHO INN Programme
-rixin,suffix,target_class_stem,chemokine CXCR receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,dazirixin;elubrixin;ladarixin;navarixin,false,,,7,WHO INN Programme
-rizine,suffix,mechanism_stem,antihistaminics/cerebral (or peripheral) vasodilators,,,gpcr,,small_molecule,cardiovascular disease;allergy/asthma,belarizine;buterizine;cinnarizine;dotarizine;pipoxizine;chloracyzine;fluacizine;benactyzine,false,,,7,WHO INN Programme
-rolimus,suffix,mechanism_stem,"immunosuppressants, rapamycin derivatives",,莫司,immune_checkpoint;cytokine,,small_molecule,,everolimus;olcorolimus;pimecrolimus;zotarolimus,false,,,7,WHO INN Programme
-rozole,suffix,mechanism_stem,"aromatase inhibitors, imidazole-triazole derivatives",,罗唑,,inhibitor,small_molecule,,anastrozole;fadrozole;finrozole;leflutrozole;aminitrozole;sulfatrozole;tenonitrozole,false,,,7,WHO INN Programme
-rubicin,suffix,mechanism_stem,"antineoplastics, daunorubicin derivatives",,柔比星,,,small_molecule,cancer,aclarubicin;aldoxorubicin;amrubicin;berubicin;camsirubicin;carubicin;daunorubicin;detorubicin,false,,,7,WHO INN Programme
-sermin,suffix,mechanism_stem,insulin-like growth factors,,舍明,growth_factor,,small_molecule,,mecasermin;mecasermin rinfabate,false,,,7,WHO INN Programme
-sertib,suffix,target_class_stem,serine/threonine kinase inhibitors,,色替,kinase;enzyme,inhibitor,small_molecule,,adavosertib;afuresertib;alisertib;amcasertib;azenosertib;barasertib;berzosertib;camonsertib,false,,,7,WHO INN Programme
-siban,suffix,mechanism_stem,oxytocin antagonists,,,,antagonist;agonist,small_molecule,,atosiban;barusiban;cligosiban;epelsiban,false,,,7,WHO INN Programme
-siran,suffix,mechanism_stem,"small interfering RNA including siRNA, miRNA and piRNA",,西兰,,,small_molecule,,asvasiran;bamosiran;belcesiran;bevasiranib;cemdisiran;cosdosiran;daplusiran;inclisiran,false,,,7,WHO INN Programme
-sopine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,adosopine,false,,,7,WHO INN Programme
-steine,suffix,mechanism_stem,"mucolytics, other than bromhexine derivatives",,司坦,,,small_molecule,,acetylcysteine;bencisteine;carbocisteine;cartasteine;dacisteine;danosteine;erdosteine;fudosteine,false,,,7,WHO INN Programme
-ster-,infix,mechanism_stem,androgens/anabolic steroids,,睾-,nuclear_receptor,,small_molecule,,cloxotestosterone;methyltestosterone;testosterone;testosterone ketolaurate;bolasterone;fluoxymesterone;oxymesterone;prasterone,false,,,7,WHO INN Programme
-stinel,suffix,target_class_stem,N-methyl-D-aspartate (NMDA) receptor co-agonists,,,,agonist,small_molecule,,apimostinel;gavestinel;licostinel;rapastinel;zelquistinel;sulfabenz;sulfabenzamide;sulfacarbamide,false,,,7,WHO INN Programme
-sudil,suffix,target_class_stem,Rho protein kinase inhibitors,,地尔,kinase;enzyme,inhibitor,small_molecule,,belumosudil;cotosudil;fasudil;netarsudil,false,,,7,WHO INN Programme
-sulfan,suffix,mechanism_stem,"antineoplastic, alkylating agents, methanesulfonates",,舒凡,,,small_molecule,cancer,busulfan;improsulfan;mannosulfan;piposulfan;ritrosulfan;treosulfan,false,,,7,WHO INN Programme
-tadine,suffix,target_class_stem,"tricyclic histamine-H1 receptor antagonists, tricyclic compounds",,他定,gpcr,antagonist;agonist,small_molecule,,alcaftadine;azatadine;cyproheptadine;desloratadine;loratadine;napactadine;olopatadine;rupatadine,false,,,7,WHO INN Programme
-tapide,suffix,mechanism_stem,microsomal triglyceride transfer protein (MTP) inhibitors,,他派,,inhibitor,small_molecule,,dirlotapide;granotapide;implitapide;mitratapide;lomitapide;usistapide,false,,,7,WHO INN Programme
-taxel,suffix,mechanism_stem,antineoplastics; taxane derivatives,,他赛,,,small_molecule,cancer,cabazitaxel;docetaxel;larotaxel;milataxel;paclitaxel poliglumex;paclitaxel trevatide;simotaxel;sudocetaxel zendusortide,false,,,7,WHO INN Programme
-tecan,suffix,mechanism_stem,"antineoplastics, topoisomerase I inhibitors",,替康,,inhibitor,small_molecule,cancer,afeletecan;atiratecan;belotecan;cositecan;davamotecan pegadexamer;delimotecan;alideximer;firtecan peglumer,false,,,7,WHO INN Programme
-tepa,suffix,mechanism_stem,"antineoplastics, thiotepa derivatives",,替派,,,small_molecule,cancer,azatepa;pumitepa;thiotepa,false,,,7,WHO INN Programme
-tepine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,citatepine;clorotepine;damotepine;metitepine;tropatepine;atromepine;noscapine;prozapine,false,,,7,WHO INN Programme
-termin,suffix,mechanism_stem,transforming growth factor,,,growth_factor,,small_molecule,,cetermin;liatermin,false,,,7,WHO INN Programme
-terone,suffix,mechanism_stem,antiandrogens,,特龙,nuclear_receptor,,small_molecule,,abiraterone;benorterone;cyproterone;delanterone;galeterone;inocoterone;ludaterone;osaterone,false,,,7,WHO INN Programme
-thiouracil,suffix,mechanism_stem,uracil derivatives used as thyroid antagonists,,拉西,,antagonist;agonist,small_molecule,,iodothiouracil;methylthiouracil;propylthiouracil,false,,,7,WHO INN Programme
-tibant,suffix,target_class_stem,bradykinin receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,anatibant;deltibant;fasitibant chloride;icatibant;safotibant,false,,,7,WHO INN Programme
-tirelin,suffix,mechanism_stem,thyrotropin releasing hormone analogues,,替瑞林,nuclear_receptor,,small_molecule,,azetirelin;fertirelin;montirelin;orotirelin;posatirelin;protirelin;rovatirelin;taltirelin,false,,,7,WHO INN Programme
-toclax,suffix,mechanism_stem,B-cell lymphoma 2 (Bcl-2) inhibitors,,,,inhibitor,small_molecule,cancer,imlatoclax;lisaftoclax;mirzotamab clezutoclax;murizatoclax;navitoclax;obatoclax;pelcitoclax;sonrotoclax,false,,,7,WHO INN Programme
-tolimod,suffix,target_class_stem,toll-like receptor (TLR) agonists,,莫德,,agonist,small_molecule,,agatolimod;cavrotolimod;cobitolimod;entolimod;guretolimod;lapretolimod;lefitolimod;motolimod,false,,,7,WHO INN Programme
-trakin,suffix,mechanism_stem,interleukin-4 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,binetrakin,false,,,7,WHO INN Programme
-trakinra,suffix,target_class_stem,interleukin-4 receptor antagonists,,白介素,immune_checkpoint;cytokine;gpcr,antagonist;agonist,small_molecule,,pitrakinra;erepdekinra;aliskiren;ciprokiren;ditekiren;enalkiren;imarikiren;remikiren,false,,,7,WHO INN Programme
-traline,suffix,mechanism_stem,serotonin reuptake inhibitors,,曲林,gpcr,inhibitor,small_molecule,,dasotraline;indatraline;lometraline;sertraline;tametraline,false,,,7,WHO INN Programme
-trep,suffix,target_class_stem,transient receptor potential antagonists,,,,antagonist;agonist,small_molecule,,asivatrep;elismetrep;evifacotrep;libvatrep;mavatrep;motugivatrep,false,,,7,WHO INN Programme
-trexate,suffix,mechanism_stem,folic acid analogues,,曲沙,,,small_molecule,,edatrexate;ketotrexate;methotrexate;pralatrexate;trimetrexate;aminopterin sodium,false,,,7,WHO INN Programme
-trexed,suffix,mechanism_stem,antineoplastics; thymidilate synthetase inhibitors,,曲塞,,inhibitor,small_molecule,cancer,ideltrexed;nolatrexed;pemetrexed;plevitrexed;raltitrexed,false,,,7,WHO INN Programme
-tricin,suffix,mechanism_stem,"antibiotics, polyene derivatives",,曲星,,inhibitor,small_molecule,infectious disease,amcipatricin;mepartricin;partricin;tyrothricin;candicidin;filipin;hachimycin;bliretrigine,false,,,7,WHO INN Programme
-triptan,suffix,target_class_stem,"serotonin (5HT1) receptor agonists, sumatriptan derivatives",,曲坦,gpcr,agonist,small_molecule,,almotriptan;avitriptan;donitriptan;eletriptan;frovatriptan;naratriptan;oxitriptan;rizatriptan,false,,,7,WHO INN Programme
-trodast,suffix,target_class_stem,"thromboxane A2-receptor antagonists, antiasthmatics",,司特,gpcr,antagonist;agonist,small_molecule,allergy/asthma,imitrodast;seratrodast;rafutrombopag;totrombopag,false,,,7,WHO INN Programme
-uplase,suffix,target_class_stem,"urokinase type plasminogen activators, see -ase",,酶,kinase,agonist,small_molecule,,nasaruplase;nasaruplase beta;saruplase;urokinase;urokinase alfa,false,,,7,WHO INN Programme
-vivint,suffix,mechanism_stem,Wnt signaling inhibitors,,,,inhibitor,small_molecule,,cirtuvivint;foscenvivint;ipivivint;lorecivivint;tegavivint;teplinovivint,false,,,7,WHO INN Programme
-xaban,suffix,mechanism_stem,"blood coagulation factor XA inhibitors, antithrombotics",,,,inhibitor,small_molecule,thrombosis,apixaban;betrixaban;darexaban;edoxaban;rivaroxaban,false,,,7,WHO INN Programme
-xanox,suffix,mechanism_stem,"anti-allergics, tixanox group",,帖诺,,,small_molecule,allergy/asthma,amlexanox;mepixanox;sudexanox;tixanox;acipimox;bifeprunox;etofenprox;nifurtimox,false,,,7,WHO INN Programme
-xetan,suffix,mechanism_stem,chelating agents,,,,,small_molecule,,lintuzumab satetraxetan;anetumab corixetan;cabiotraxetan;clivatuzumab tetraxetan;lilotomab satetraxetan;tetraxetan;vipivotide tetraxetan;corixetan,false,,,7,WHO INN Programme
-zafone,suffix,mechanism_stem,alozafone derivatives,,扎封,,,small_molecule,,alozafone;avizafone;ciprazafone;dinazafone,false,,,7,WHO INN Programme
-zepine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,dibenzepin;elanzepine;enprazepine;erizepine;mezepine;nuvenzepine;prazepine;propizepine,false,,,7,WHO INN Programme
-zolast,suffix,mechanism_stem,leukotriene biosynthesis inhibitors,,司特,,inhibitor,small_molecule,,binizolast;eclazolast;ontazolast;quazolast;bufrolin;oxarbazole;pirolate,false,,,7,WHO INN Programme
-zolid,suffix,mechanism_stem,oxazolidinone antibacterials,,唑胺,,inhibitor,small_molecule,infectious disease,cadazolid;contezolid;delpazolid;eperezolid;furazolidone;linezolid;posizolid;radezolid,false,,,7,WHO INN Programme
-zone,suffix,mechanism_stem,"anti-inflammatory analgesics, phenylbutazone derivatives",,布宗,,,small_molecule,inflammatory diseases;pain,clofezone;proxifezone;azapropazone;benhepazone;bumadizone;benzpiperylone;butopyrammonium iodide;dibupyrone,false,,,7,WHO INN Programme
-zotan,suffix,target_class_stem,"5-HT1A receptor agonists / antagonists acting primarily as neuroprotectors Acknowledgements The INN Secretariat extends its thanks to Dr R. Boudet-Dalbin, France, for the graphic representations of the chemical formulae in this document.",,佐坦,,antagonist;agonist,small_molecule,,ebalzotan;lecozotan;naluzotan;osemozotan;piclozotan;robalzotan;sarizotan,false,,,7,WHO INN Programme
andr,infix,mechanism_stem,"steroids, androgens",,,nuclear_receptor,,small_molecule,,androstanolone;methandriol;nandrolone;norethandrolone;ovandrotone albumin;silandrone;drostanolone;epitiostanol,false,,,7,WHO INN Programme
arte-,prefix,mechanism_stem,"antimalarial agents, artemisinin related compounds",,,,,small_molecule,infectious disease,artefenomel;arteflene;artemether;artemisinin;artemisone;artemotil;artenimol;arterolane,false,,,7,WHO INN Programme
barb,infix,mechanism_stem,"hypnotics, barbituric acid derivatives",,巴比,,,small_molecule,psychiatric disorders,barbri sodium;allobarbital;barbexaclone;hexobarbital;pentobarbital;carbubarb;barbutal;aprobarbital,false,,,7,WHO INN Programme
bol,infix,mechanism_stem,anabolic steroids,,勃,nuclear_receptor,,small_molecule,,bolandiol;bolasterone;bolazine;boldenone;mebolazine;mibolerone;norboletone;norclostebol,false,,,7,WHO INN Programme
cef-,prefix,mechanism_stem,"antibiotics, cefalosporanic acid derivatives",,头孢,,inhibitor,small_molecule,infectious disease,cefacetrile;cefaclor;cefadroxil;cefalexin;cefamandole;cefaparole;cefapirin;cefatrizine,false,,,7,WHO INN Programme
cort,infix,mechanism_stem,"corticosteroids, except prednisolone derivatives",,,nuclear_receptor,,small_molecule,,amebucort;anecortave;benzodrocortisone;cortisone;cortisuzol;cortivazol;cortodoxone;fludrocortisone,false,,,7,WHO INN Programme
erg,infix,mechanism_stem,ergot alkaloid derivatives,,麦角,,,small_molecule,,propisergide;sergolexole;amesergide;mesulergine;ergotamine;efpegerglucagon;sulergine;cianergoline,false,,,7,WHO INN Programme
estr,infix,mechanism_stem,estrogens,,雌,nuclear_receptor,,small_molecule,,palazestrant;pangumestrocel;camizestrant;quinestrol;benzoestrol;almestrone;dienoestrol;taragarestrant,false,,,7,WHO INN Programme
gab,infix,mechanism_stem,gabamimetic agents,,加,,,small_molecule,,afizagabar;alogabat;atagabalin;crisugabalin;darigabat;fengabine;gabapentin;retigabine,false,,,7,WHO INN Programme
gado-,prefix,mechanism_stem,"diagnostic agents, gadolinium derivatives",,钆-,,,small_molecule,,gadobenic acid;gadobutrol;gadocoletic acid;gadopenamide;gadopentetic acid;gadopiclenol,false,,,7,WHO INN Programme
gest,infix,mechanism_stem,"steroids, progestogens",,孕,nuclear_receptor,,small_molecule,,norgestrel;altrenogest;vepdegestrant;medrogestone;gestodene;megestrol;levonorgestrel;norelgestromin,false,,,7,WHO INN Programme
