english,chinese,latin,french,spanish,atc
seldegamadlin,塞迪德林,seldegamadlinum,seldégamadline,seldegamadlina,
setomagpran,塞托玛普兰,setomagpranum,sétomagpran,setomagprán,
silevertinib,昔乐艾替尼,silevertinibum,silévertinib,silevertinib,
simedeutirom,氘西美替罗,simedeutiromum,simédeutirom,simedeutirom,
sitmutolimod,西托莫德,sitmutolimodum,sitmutolimod,sitmutolimod,
soclenicant,索克尼坎,soclenicantum,soclénicant,soclenicant,
sosimerasib,索西美雷塞,sosimerasibum,sosimérasib,sosimerasib,
sumonerimod,苏那莫德,sumonerimodum,sumonérimod,sumonerimod,
suvonstobart,舒沃苏拜单抗,suvonstobartum,suvonstobart,suvonstobart,
tanruprubart,坦鲁扑拜单抗,tanruprubartum,tanruprubart,tanruprubart,
tarvicopan,他维可泮,tarvicopanum,tarvicopan,tarvicopán,
tersolisib,特索利塞,tersolisibum,tersolisib,tersolisib,
tetrandrine,汉防己甲素,tetrandrinum,tétrandrine,tetrandrina,
tezusomant,特佐索孟,tezusomantum,tézusomant,tezusomant,
tilrekimig,替锐奇米单抗,tilrekimigum,tilrékimig,tilrekimig,
tivinectide,替韦克肽,tivinectidum,tivinectide,tivinectida,
tixentamig,替森妥米单抗,tixentamigum,tixentamig,tixentamig,
tixestobart,替克苏拜单抗,tixestobartum,tixestobart,tixestobart,
torvutatug,拓沃妥塔单抗,torvutatugum,torvutatug,torvutatugum,
tosposertib,托波色替,tosposertibum,tosposertib,tosposertib,
trovostobart,特沃苏拜单抗,trovostobartum,trovostobart,trovostobart,
ubavitinib,尤巴替尼,ubavitinibum,ubavitinib,ubavitinib,
ubletamig,尤布妥米单抗,ubletamigum,ublétamig,ubletamig,
vecantoxatug,唯康度塔单抗,vecantoxatugum,vécantoxatug,vecantoxatug,
velaprumig,纬拉扑米单抗,velaprumigum,vélaprumig,velaprumig,
veludacigib,维鲁达西吉,veludacigibum,véludacigib,veludacigib,
verducatib,维多卡替,verducatibum,verducatib,verducatib,
vilagletistat,维列司他,vilagletistatum,vilaglétistat,vilagletistat,
vopimetostat,沃美妥司他,vopimetostatum,vopimétostat,vopimetostat,
vortosiran,沃托司兰,vortosiranum,vortosiran,vortosirán,
zaladenant,赞拉地南,zaladenantum,zaladénant,zaladenant,
zalsupindole,泽舒吲哚,zalsupindolum,zalsupindole,zalsupindol,
zedoresertib,泽多色替,zedoresertibum,zédorésertib,zedoresertib,
zeltociclib,泽托西利,zeltociclibum,zeltociclib,zeltociclib,
zemocimig,泽莫西米单抗,zemocimigum,zémocimig,zemocimig,
zilvetrigine,泽维曲近,zilvetriginum,zilvétrigine,zilvetrigina,
zoldonrasib,佐顿雷塞,zoldonrasibum,zoldonrasib,zoldonrasib,
zovaglutide,佐维格鲁肽,zovaglutidum,zovaglutide,zovaglutida,
cemivameran,西迈瓦米瑞,cemivameranum,cémivaméran,cemivamerán,
girocovatein,吉罗冠泰因,girocovateinum,girocovatéine,girocovateína,
ibramvibart,伊布拉韦拜单抗,ibramvibartum,ibramvibart,ibramvibart,
rubravameran,鲁布瓦米瑞,rubravameranum,rubravaméran,rubravamerán,
tagovameran,塔戈瓦米瑞,tagovameranum,tagovaméran,tagovamerán,
filricianine,非瑞昔宁,filricianinum,filricianine,filricianina,
piperaquine,哌喹,piperaquinum,pipéraquine,piperaquina,
utidelone,优替德隆,utidelonum,utidélone,utidelona,
resveratrol,白藜芦醇,resveratrolum,resvératrol,resveratrol,
getacatetide,博洛利肽,getacatetidum,gétacatétide,getacatetida,
ratangratinib,瑞特格拉替尼,ratangratinibum,ratangratinib,ratangratinib,
marlotamig,达尔妥米单抗,marlotamigum,marlotamig,marlotamig,
balekafusp alfa,巴莱卡芙普α,balekafuspum alfa,balékafusp alfa,balekafusp alfa,
utenpanium chloride,氯乌特帕铵,utenpanii chloridum,chlorure d'utenpanium,cloruro de utenpanio,
infliximab beta,英夫利西单抗β,infliximabum beta,infliximab bêta,infliximab beta,
lunsotogene parvec,哌伦索托基,lunsotogenum parvecum,lunsotogène parvec,lunsotogén parvec,
onzemipgene parvec,哌昂泽米基,onzemipgenum parvecum,onzémipgène parvec,onzemipgén parvec,
florcicaper (18f),氟 (18F)西卡泊,florcicaperum (18F),florcicaper (18F),florcicapero (18F),
flormotridaz (18f),氟(18F)莫曲达,flormotridazum (18F),flormotridaz (18F),flormotridaz (18F),
acinterferon alfa,艾克干扰素α,acinterferonum alfa,acinterféron alfa,acinterferón alfa,
suraxavir marboxil,玛舒拉沙韦,suraxavirum marboxilum,suraxavir marboxil,suraxavir marboxilo,
plencifgene parvec,哌普兰西基,plencifgenum parvecum,plencifgène parvec,plencifgén parvec,
ruzaltatug rezetecan,瑞康芦泽妥塔单抗,ruzaltatugum rezetecanum,ruzaltatug rézétécan,ruzaltatug rezetecán,
tivoxavir marboxil,玛替伏沙韦,tivoxavirum marboxilum,tivoxavir marboxil,tivoxavir marboxilo,
moflerafusp alfa,莫伏来芙普α,moflerafuspum alfa,moflérafusp alfa,moflerafusp alfa,
puliretgene parvec,哌普锐基,puliretgenum parvecum,puliretgène parvec,puliretgén parvec,
tofacitinib etocomil,艾托法替布,tofacitinibum etocomilum,tofacitinib étocomil,tofacitinib etocomilo,
actinium (225ac) zadavotide guraxetan,锕 (225Ac)谷扎达沃肽,actinium (225Ac) zadavotidum guraxetanum,actinium (225Ac) zadavotide guraxétan,actinio (225Ac) zadavotida guraxetán,
liraltagene autoleucel,利瑞基奥仑赛,liraltagenum autoleucelum,liraltagène autoleucel,liraltagén autoleucel,
ristoglogene autogetemcel,里斯洛基奥杰干赛,ristoglogenum autogetemcelum,ristoglogène autogétemcel,ristoglogén autogetemcel,
olisutrigine bromide,溴奥利曲近,olisutrigini bromidum,bromure d'olisutrigine,bromuro de olisutrigina,
efranarelaxin alfa,依弗拉那松弛素α,efranarelaxinum alfa,efranarélaxine alfa,efranarelaxina alfa,
torvutatug samrotecan,萨康拓沃妥塔单抗,torvutatugum samrotecanum,torvutatug samrotécan,torvutatug samrotecán,
copper histidinate,组氨酸铜,cupri histidinas,histidinate de cuivre,histidinato de cobre,
nuzefatide pevedotin,吡诺泽法肽,nuzefatidum pevedotinum,nuzéfatide pévédotine,nuzefatida pevedotina,
xeruborbactam isoboxil,西硼巴坦酯,xeruborbactamum isoboxilum,xéruborbactam isoboxil,xeruborbactam isoboxilo,
plozalizumab plevistinag,普那普洛利珠单抗,plozalizumabum plevistinagum,plozalizumab plévistinag,plozalizumab plevistinag,
colfosceril miristate,肉豆蔻胆磷,colfoscerili miristas,miristate de colfoscéril,miristato de colfoscerilo,
sersacabtagene autoleucel,斯萨基奥仑赛,sersacabtagenum autoleucelum,sersacabtagéne autoleucel,sersacabtagén autoleucel,
pezatresgene leucel,佩泽基仑赛,pezatresgenum leucelum,pézatresgène leucel,pezatresgén leucel,
runitresgene leucel,芦尼基仑赛,runitresgenum leucelum,runitresgène leucel,runitresgén leucel,
soficabtagene geleucel,索菲基杰仑赛,soficabtagenum geleucelum,soficabtagène géleucel,soficabtagén geleucel,
zoninterferon alfa-2b,佐尼干扰素a-2b,zoninterferonum alfa-2b,zoninterféron alfa-2b,zoninterferón alfa-2b,
anbenitamab repodatecan,普康安尼妥单抗,anbenitamabum repodatecanum,anbénitamab répodatécan,anbenitamab repodatecán,
pivodisgene parvec,哌匹沃迪基,pivodisgenum parvecum,pivodisgène parvec,pivodisgén parvec,
anzutresgene autoleucel,安组基奥仑赛,anzutresgenum autoleucelum,anzutresgène autoleucel,anzutresgén autoleucel,
zolacabtagene autoleucel,佐拉卡基奥仑赛,zolacabtagenum autoleucelum,zolacabtagène autoleucel,zolacabtagén autoleucel,
sonzivotide filricianine,菲索沃肽,sonzivotidum filricianinum,sonzivotide filricianine,sonzivotida filricianina,
mivocabtagene autoleucel,米伏基奥仑赛,mivocabtagenum autoleucelum,mivocabtagène autoleucel,mivocabtagén autoleucel,
ixotatug vedotin,维依索妥塔单抗,ixotatugum vedotinum,ixotatug védotine,ixotatug vedotina,
laventatug tivedotin,替维拉文妥塔单抗,laventatugum tivedotinum,laventatug tivédotine,laventatug tivedotina,
baluretgene parvec,哌巴鲁锐基,baluretgenum parvecum,baluretgène parvec,baluretgén parvec,
rondecabtagene autoleucel,朗迪卡基奥仑赛,rondecabtagenum autoleucelum,rondécabtagène autoleucel,rondecabtagén autoleucel,
garetatug rezetecan,瑞康戈芮妥塔单抗,garetatugum rezetecanum,garétatug rézétecan,garetatug rezetecán,
talicabtagene autoleucel,塔利卡基奥仑赛,talicabtagene autoleucelum,talicabtagène autoleucel,talicabtagén autoleucel,
olmocabtagene autoleucel,欧莫基奥仑赛,olmocabtagenum autoleucelum,olmocabtagène autoleucel,olmocabtagén autoleucel,
efclarofusp alfa,依克罗芙普α,efclarofuspum alfa,efclarofusp alfa,efclarofusp alfa,
ranicabtagene autoleucel,雷尼基奥仑赛,ranicabtagenum autoleucelum,ranicabtagène autoleucel,ranicabtagén autoleucel,
limatracint,利曲辛特,limatracintum,limatracint,limatracint,
zintrodiazine,辛卓他嗪,zintrodiazinum,zintrodiazine,zintrodiazina,
dalnacogene ponparvovec,波哌达可基,dalnacogenum ponparvovecum,dalnacogène ponparvovec,dalnacogén ponparvovec,
tegtociclib,特托西利,tegtociclibum,tegtociclib,tegtociclib,
sonesitatug vedotin,维索奈妥塔单抗,sonesitatugum vedotinum,sonésitatug védotine,sonesitatug vedotina,
efsubaglutide alfa,依苏帕格鲁肽α,efsubaglutidum alfa,efsubaglutide alfa,efsubaglutida alfa,
nefonadogene vonzuparvovec,沃佐哌奈纳基,nefonadogenum vonzuparvovecum,néfonadogène vonzuparvovec,nefonadogén vonzuparvovec,
verenafusp alfa,纬瑞纳芙普α,verenafuspum alfa,vérénafusp alfa,verenafusp alfa,
pritebegene zepadenovec,泽艾普贝基,pritebegenum zepadenovecum,pritébégène zépadénovec,pritebegén zepadenovec,
bavebegene tovacivec,托卫巴维贝基,bavebegenum tovacivecum,bavébégène tovacivec,bavebegén tovacivec,
otekinogene vusaplasmid,夫萨米奥奇基,otekinogenum vusaplasmidum,otékinogène vusaplasmide,otekinogén vusaplásmido,
opugotamig olatansine,莱坦欧谷妥米单抗,opugotamigum olatansinum,opugotamig olatansine,opugotamig olatansina,
brexanolone caprilcerbate,布瑞诺龙卡普酯,brexanolonum caprilcerbas,caprilcerbate de brexanolone,caprilcerbato de brexanolona,
vispacabtagene regedleucel,维派基瑞杰仑赛,vispacabtagenum regedleucelum,vispacabtagène régedleucel,vispacabtagén regedleucel,
larnefpendekin alfa,拉奈白介素α,larnefpendekinum alfa,larnefpendékine alfa,larnefpendekina alfa,
bulumtatug fuvedotin,伏维布伦妥塔单抗,bulumtatugum fuvedotinum,bulumtatug fuvédotine,bulumtatug fuvedotina,
cetuximab beta,西妥昔单抗β,cetuximabum beta,cétuximab bêta,cetuximab beta,
lutadenovec autogene,鲁特艾奥基,lutadenovecum autogenum,lutadénovec autogène,lutadenovec autogén,
sapecmeran autogene,奥基萨佩米瑞,sapecmeranum autogenum,sapecméran autogène,sapecmerán autogén,
ciletatug vedotin,维思妥塔单抗,ciletatugum vedotinum,ciletatug védotine,ciletatug vedotina,
efdoralprin alfa,依多瑞普润α,efdoralprinum alfa,efdoralprine alfa,efdoralprina alfa,
posnafusp alfa,博斯纳芙普α,posnafuspum alfa,posnafusp alfa,posnafusp alfa,
efdelikofusp alfa,依利科芙普α,efdelikofuspum alfa,efdélikofusp alfa,efdelikofusp alfa,
efzilonkofusp alfa,依隆柯芙普α,efzilonkofuspum alfa,efzilonkofusp alfa,efzilonkofusp alfa,
sovipostobart beta,索纬苏拜单抗β,sovipostobartum beta,sovipostobart bêta,sovipostobart beta,
nespecabtagene autoleucel,内帕基奥仑赛,nespecabtagenum autoleucelum,nespécabtagène autoleucel,nespecabtagén autoleucel,
efgitasialase alfa,依吉萨酶α,efgitasialasum alfa,efgitasialase alfa,efgitasialasa alfa,
efmedaglutide alfa,依达格鲁肽α,efmedaglutidum alfa,efmédaglutide alfa,efmedaglutida alfa,
persicabtagene lemgedleucel,佩西基莱杰仑赛,persicabtagenum lemgedleucelum,persicabtagène lemgedleucel,persicabtagén lemgedleucel,
actinium (225ac) alpitatug satetraxetan,锕[225Ac]沙阿匹妥塔单抗,actinium (225Ac) alpitatugum satetraxetanum,actinium (225Ac) alpitatug satétraxétan,actinio (225Ac) alpitatug satetraxetán,
utigamglogene autogedtemcel,尤替基奥杰干赛,utigamglogenum autogedtemcelum,utigamglogène autogedtemcel,utigamglogén autogedtemcel,
lasmecabtagene timgedleucel,拉迈基替杰仑赛,lasmecabtagenum timgedleucelum,lasmécabtagène timgedleucel,lasmecabtagén timgedleucel,
etivelcabtagene erigedleucel,艾瓦基瑞杰仑赛,etivelcabtagenum erigedleucelum,étivelcabtagène érigedleucel,etivelcabtagén erigedleucel,
lutetium (177lu) tezuvotide tetraxetan,镥[177Lu]特昔特沃肽,lutetium (177Lu) tezuvotidum tetraxetanum,lutécium (177Lu) tézuvotide tétraxétan,lutecio (177Lu) tezuvotida tetraxetán,
trastuzumab pamirtecan,帕康曲妥珠单抗,trastuzumabum pamirtecanum,trastuzumab pamirtécan,trastuzumab pamirtecán,
solabafusp alfa,索拉比芙普α,solabafuspum alfa,solabafusp alfa,solabafusp alfa,
alizulatide vixocianine,阿肽维克昔宁,alizulatidum vixocianinum,alizulatide vixocianine,alizulatida vixocianina,
amtabafusp alfa,艾米他芙普α,amtabafuspum alfa,amtabafusp alfa,amtabafusp alfa,
senacnagene enfaleucel,斯纳基恩仑赛,senacnagenum enfaleucelum,sénacnagène enfaleucel,senacnagén enfaleucel,
intismeran autogene,奥基茵替米瑞,intismeranum autogenum,intisméran autogène,intismerán autogén,
efarindodekin alfa,依艾迪白介素α,efarindodekinum alfa,éfarindodékine alfa,efarindodekina alfa,
zertomibgene cazparvovec,卡兹哌泽托基,zertomibgenum cazparvovecum,zertomibgène cazparvovec,zertomibgén cazparvovec,
efsudenermin alfa,依苏迪奈明α,efsudenerminum alfa,efsudénermine alfa,efsudenermina alfa,
becotatug vedotin,维贝柯妥塔单抗,becotatugum vedotinum,bécotatug védotine,becotatug vedotina,
felmetatug vedotin,维菲麦妥塔单抗,felmetatugum vedotinum,felmétatug védotine,felmetatug vedotina,
arvenacogene sanparvovec,沙哌阿可基,arvenacogenum sanparvovecum,arvénacogène sanparvovec,arvenacogén sanparvovec,
pasemnogene gleparvovec,格哌佩诺基,pasemnogenum gleparvovecum,pasemnogène gléparvovec,pasemnogén gleparvovec,
tabirafusp alfa tedromer,替卓他比拉芙普α,tabirafuspum alfa tedromerum,tabirafusp alfa tédromère,tabirafusp alfa tedrómero,
tabirafusp alfa,他比拉芙普α,tabirafuspum alfa,tabirafusp alfa,tabirafusp alfa,
pamlectabart tismanitin,替汀帕沐妥拜单抗,pamlectabartum tismanitinum,pamlectabart tismanitine,pamlectabart tismanitina,
zunibergene rocparvovec,罗克哌佐基,zunibergenum rocparvovecum,zunibergène rocparvovec,zunibergén rocparvovec,
delpacibart zotadirsen,佐生地帕西拜单抗,delpacibartum zotadirsenum,delpacibart zotadirsen,delpacibart zotadirsen,
delpacibart braxlosiran,布兰地帕西拜单抗,delpacibartum braxlosiranum,delpacibart braxlosiran,delpacibart braxlosirán,
pixavir marboxil,玛帕西沙韦,pixavirum marboxilum,pixavir marboxil,pixavir marboxilo,
zabilugene almadenorepvec,奥沐艾若泽鲁基,zabilugenum almadenorepvecum,zabilugène almadénorépvec,zabilugén almadenorepvec,
bezeotermin alfa,贝佐特明α,bezeoterminum alfa,bézéotermine alfa,bezeotermina alfa,
caxmotabart entudotin,恩汀卡克妥拜单抗,caxmotabartum entudotinum,caxmotabart entudotine,caxmotabart entudotina,
resecabtagene autoleucel,瑞塞基奥仑赛,resecabtagenum autoleucelum,résécabtagène autoleucel,resecabtagén autoleucel,
abipapogene suvaplasmid,苏米阿比帕基,abipapogenum suvaplasmidum,abipapogène suvaplasmide,abipapogén suvaplásmido,
macitegtagene autoleucel,玛西特基奥仑赛,macitegtagenum autoleucelum,macitegtagène autoleucel,macitegtagén autoleucel,
zamubafusp alfa,泽莫比芙普α,zamubafuspum alfa,zamubafusp alfa,zamubafusp alfa,
tizetatug rezetecan,瑞康替泽妥塔单抗,tizetatugum rezetecanum,tizétatug rézétécan,tizetatug rezetecán,
rememulgene arelactibac,阿莱巴瑞沐基,rememulgenum arelactibacum,rémémulgène arélactibac,rememulgén arelactibac,
lead (212pb) lapemelanotide zapixetan,铅(212Pb)赞拉帕诺肽,plumbum (212Pb) lapemelanotidum zapixetanum,plomb (212Pb) lapémélanotide zapixétan,plomo (212Pb) lapemelanotida zapixetán,
lead (212pb) bamzireotide navoxetan,铅(212Pb) 纳巴莫瑞肽,plumbum (212Pb) bamzireotidum navoxetanum,plomb (212Pb) bamziréotide navoxétan,plomo (212Pb) bamzireótida navoxetán,
upinitatug rilsodotin,瑞度尤匹妥塔单抗,upinitatugum rilsodotinum,upinitatug rilsodotine,upinitatug rilsodotina,
upinitatug,尤匹妥塔单抗,upinitatugum,upinitatug,upinitatug,
bevacizumab gamma,贝伐珠单抗γ,bevacizumabum gamma,bévacizumab gamma,bevacizumab gamma,
azetukalner,阿泽卡纳,azetukalnerum,azétukalner,azetukalner,
pegfosimer manganese,培夫司姆锰,pegfosimerum manganesum,pegfosimère manganèse,pegfosímero manganeso,
tividenofusp alfa,替艾芙普α,tividenofuspum alfa,tividénofusp alfa,tividenofusp alfa,
rinvecalinase alfa,瑞卡林酶α,rinvecalinasum alfa,rinvécalinase alfa,rinvecalinasa alfa,
gulgafafusp alfa,格加芙普α,gulgafafuspum alfa,gulgafafusp alfa,gulgafafusp alfa,
sonpiretigene isteparvovec,艾哌索替基,sonpiretigenum isteparvovecum,sonpirétigène istéparvovec,sonpiretigén isteparvovec,
sotiburafusp alfa,索布瑞芙普α,sotiburafuspum alfa,sotiburafusp alfa,sotiburafusp alfa,
inaticabtagene autoleucel,纳基奥仑赛,inaticabtagenum autoleucelum,inaticabtagène autoleucel,inaticabtagén autoleucel,
esonadogene imvoparvovec,依哌艾多基,esonadogenum imvoparvovecum,ésonadogène imvoparvovec,esonadogén imvoparvovec,
anitocabtagene autoleucel,阿尼基奥仑赛,anitocabtagenum autoleucelum,anitocabtagène autoleucel,anitocabtagén autoleucel,
trastuzumab botidotin,博度曲妥珠单抗,trastuzumabum botidotinum,trastuzumab botidotine,trastuzumab botidotina,
umedaptanib pegol,培米他尼布,umedaptanibum pegolum,umédaptanib pégol,umedaptanib pegol,
durcabtagene autoleucel,度卡基奥仑赛,durcabtagenum autoleucelum,durcabtagène autoleucel,durcabtagén autoleucel,
gallium (68ga) rofapitide tetraxetan,镓[68Ga]特昔罗伐肽,gallium (68Ga) rofapitidum tetraxetanum,gallium (68Ga) rofapitide tétraxétan,galio (68Ga) rofapitida tetraxetán,
lutetium (177lu) rofapitide tetraxetan,镥[177Lu]特昔罗伐肽,lutetium (177Lu) rofapitidum tetraxetanum,lutécium (177Lu) rofapitide tétraxétan,lutecio (177Lu) rofapitida tetraxetán,
tinocabtagene autoleucel,替基奥仑赛,tinocabtagenum autoleucelum,tinocabtagène autoleucel,tinocabtagén autoleucel,
alemtuzumab beta,阿仑妥珠单抗β,alemtuzumabum beta,alemtuzumab bêta,alemtuzumab beta,
enlicitide chloride,氯恩利西肽,enlicitidi chloridum,chlorure d'enlicitide,cloruro de enlicitida,
vensobafusp alfa,文索芙普α,vensobafuspum alfa,vensobafusp alfa,vensobafusp alfa,
trastuzumab vedotin,维曲妥珠单抗,trastuzumabum vedotinum,trastuzumab védotine,trastuzumab vedotina,
besvatresgene autoleucel,贝萨基奥仑赛,besvatresgenum autoleucelum,besvatresgène autoleucel,besvatresgén autoleucel,
suvutresgene autoleucel,苏基奥仑赛,suvutresgenum autoleucelum,suvutresgène autoleucel,suvutresgén autoleucel,
trovocabtagene autoleucel,曲基奥仑赛,trovocabtagenum autoleucelum,trovocabtagène autoleucel,trovocabtagén autoleucel,
taplucainium chloride,他普氯铵,taplucainium chloride,chlorure de taplucaïnium,cloruro de taplucainio,
efzimfotase alfa,依赛弗酶α,efzimfotasum alfa,efzimfotase alfa,efzimfotasa alfa,
basiliximab sarotalocan,沙巴利昔单抗,basiliximabum sarotalocanum,basiliximab sarotalocan,basiliximab sarotalocán,
avibactam tomilopil,阿维巴坦酯,avibactamum tomilopilum,avibactam tomilopil,avibactam tomilopil,
labafenogene marselecobac,迈斯巴莱诺基,labafenogenum marselecobacum,labafénogène marsélécobac,labafenogén marselecobac,
maridebart cafraglutide,卡格玛瑞德拜单抗,maridebartum cafraglutidum,maridébart cafraglutide,maridebart cafraglutida,
lutetium (177lu) edotreotide,镥[177Lu]依度曲肽,lutetium (177Lu) edotreotidum,lutécium (177Lu) édotréotide,lutecio (177Lu) edotreotida,
detalimogene voraplasmid,沃米德他基,detalimogenum voraplasmidum,détalimogène voraplasmide,detalimogén voraplásmido,
prizloncabtagene autoleucel,普龙基奥仑赛,prizloncabtagenum autoleucelum,prizloncabtagène autoleucel,prizloncabtagén autoleucel,
englumafusp alfa,恩璐玛芙普α,englumafuspum alfa,englumafusp alfa,englumafusp alfa,
technetium (99mtc) gleceparin sodium,锝(99mTc)格莱肝素钠,technetium (99mTc) gleceparinum natricum,technétium (99mTc) glécéparine sodique,tecnecio (99mTc) gleceparina sódica,
tacabrutideg,卡迪布替尼,tacabrutidegum,tacabrutideg,tacabrutideg,
solengepras,索兰吉普司,solengeprasum,solengépras,solengepras,
bizrolertinib,珀泽艾替尼,bizrolertinibum,bizrolertinib,bizrolertinib,
quaratusugene ozeplasmid,奥米奎基,quaratusugenum ozeplasmidum,quaratusugène ozéplasmide,quaratusugén ozeplásmido,
imiquimod,咪喹莫德,imiquimodum,imiquimod,imiquimod,
telisotuzumab vedotin,维特立妥珠单抗,telisotuzumabum vedotinum,télisotuzumab védotine,telisotuzumab vedotina,
eftozanermin alfa,依托奈明α,eftozanermin alfa,eftozanermine alfa,eftozanermina alfa,
nadofaragene firadenovec,非艾那法基,nadofaragenum firadenovecum,nadofaragène firadénovec,nadofaragén firadenovec,
avasopasem manganese,阿伐索帕锰,avasopasemum manganum,avasopasem manganèse,avasopasem manganeso,
disitamab vedotin,维迪西妥单抗,disitamabum vedotinum,disitamab védotine,disitamab vedotina,
ibudilast,异丁司特,ibudilastum,ibudilast,ibudilast,
bizalimogene ralaplasmid,瑞米必利基,bizalimogenum ralaplasmidum,bizalimogène ralaplasmide,bizalimogén ralaplásmido,
efineptakin alfa,依非白介素 α,efineptakinum alfa,éfineptakine alfa,efineptakina alfa,
camidanlumab tesirine,替卡利尤单抗,camidanlumabum tesirinum,camidanlumab tésirine,camidanlumab tesirina,
pexastimogene devacirepvec,德伐匹莫基,pexastimogenum devacirepvecum,pexastimogène dévacirépvec,pexastimogén devacirepvec,
datopotamab deruxtecan,德达博妥单抗,datopotamabum deruxtecanum,datopotamab déruxtécan,datopotamab deruxtecán,
patritumab deruxtecan,德帕曲妥尤单抗,patritumabum deruxtecanum,patritumab déruxtécan,patritumab deruxtecán,
fosgemcitabine palabenamide,帕拉磷吉西他滨,fosgemcitabinum palabenamidum,fosgemcitabine palabénamide,fosgemcitabina palabenamida,
mirvetuximab soravtansine,索米妥昔单抗,mirvetuximabum soravtansinum,mirvétuximab soravtansine,mirvetuximab soravtansina,
naptumomab estafenatox,他那妥欧单抗,naptumomabum estafenatoxum,naptumomab estafénatox,naptumomab estafenatox,
tusamitamab ravtansine,瑞沃特赛妥单抗,tusamitamabum ravtansinum,tusamitamab ravtansine,tusamitamab ravtansina,
tigilanol tiglate,泰替吉诺,tigilanoli tiglas,tiglate de tigilanol,tiglato de tigilanol,
letetresgene autoleucel,乐基仑赛,letetresgenum autoleucelum,lététresgène autoleucel,letetresgén autoleucel,
tipifarnib,替匹法尼,tipifarnibum,tipifarnib,tipifarnib,
axalimogene filolisbac,菲罗阿莫基,axalimogenum filolisbacum,axalimogène filolisbac,axalimogén filolisbac,
emapticap pegol,培艾马替卡,emapticapum pegolum,émapticap pégol,emapticap pegol,
olaptesed pegol,培奥拉特塞,olaptesedum pegolum,olaptésed pégol,olaptesed pegol,
trastuzumab duocarmazine,度曲妥珠单抗,trastuzumabum duocarmazinum,trastuzumab duocarmazine,trastuzumab duocarmazina,
coltuximab ravtansine,雷考妥昔单抗,coltuximabum ravtansinum,coltuximab ravtansine,coltuximab ravtansina,
praluzatamab ravtansine,雷普罗妥单抗,praluzatamabum ravtansinum,praluzatamab ravtansine,praluzatamab ravtansina,
labetuzumab govitecan,戈拉贝妥珠单抗,labetuzumabum govitecanum,labétuzumab govitécan,labetuzumab govitecán,
disufenton sodium,地舒芬通钠,disufentonum natricum,disufenton sodique,disufentón de sodio,
veltuzumab,维妥珠单抗,veltuzumabum,veltuzumab,veltuzumab,
lucanthone,硫蒽酮,lucanthonum,lucanthone,lucantona,
iodine (131i) apamistamab,碘(131 I) 艾妥单抗,iodinum (131I) apamistamabum,iodine (131I) apamistamab,iodo (131I) apamistamab,
nemvaleukin alfa,奈沃白介素α,nemvaleukinum alfa,nemvaleukine alfa,nemvaleukina alfa,
oportuzumab monatox,莫奥珠单抗,oportuzumabum monatoxum,oportuzumab monatox,oportuzumab monatox,
eftilagimod alfa,艾泰莫德 α,eftilagimodum alfa,eftilagimod alfa,eftilagimod alfa,
delolimogene mupadenorepvec,沐艾德利基,delolimogenum mupadenorepvecum,délolimogène mupadénorépvec,delolimogén mupadenorepvec,
anetumab ravtansine,雷安妥尤单抗,anetumabum ravtansinum,anétumab ravtansine,anetumab ravtansina,
florilglutamic acid (18f),氟[18F]丙谷氨酸,acidum florilglutamicum (18F),acide florilglutamique (18F),ácido florilglútamico (18F),
onapristone,奥那司酮,onapristonum,onapristone,onapristona,
cladribine,克拉屈滨,cladribinum,cladribine,cladribina,
paclitaxel,紫杉醇,paclitaxelum,paclitaxel,paclitaxel,
olvimulogene nanivacirepvec,纳若欧莫洛基,olvimulogenum nanivacirepvecum,olvimulogène nanivacirépvec,olvimulogén nanivacirepvec,
flutemetamol (18f),氟[18F]美他酚,flutemetamolum (18F),flutémétamol (18F),flutemetamol (18F),
technetium (99mtc) sestamibi,锝[99mTc]司他比,technetium (99mTc) sestamibi,technétium (99mTc) sestamibi,tecnecio (99mTc) sestamibi,
izaflortaucipir (18f),异氟妥西吡[18F],izaflortaucipirum (18F),izaflortaucipir (18F),izaflortaucipir (18F),
acetohydroxamic acid,醋羟胺酸,acidum acetohydroxamicum,acide acétohydroxamique,ácido acetohidroxámico,
adrogolide,阿屈高莱,,adrogolide,adrogolida,
afamitresgene autoleucel,艾基奥仑赛,afamitresgenum autoleucelum,afamitresgène autoleucel,afamitresgén autoleucel,
aflibercept,阿柏西普,afliberceptum,aflibercept,aflibercept,
agalsidase alfa,阿加糖酶 α,agalsidasum alfa,agalsidase alfa,agalsidasa alfa,
agalsidase beta,阿加糖酶 β,agalsidasum beta,agalsidase beta,agalsidasa beta,
aglatimagene besadenovec,贝阿马基,aglatimagenum besadenovecum,aglatimagène bésadénovec,aglatimagén besadenovec,
albendazole,阿苯达唑,albendazolum,albendazole,albendazol,
albutrepenonacog alfa,阿布诺凝血素α,albutrepenonacogum alfa,albutrépénonacog alfa,albutrepenonacog alfa,
aldesleukin,阿地白介素,,aldesleukine,aldesleukina,
alglucosidase alfa,阿糖苷酶α,alglucosidasum alfa,alglucosidase alfa,alglucosidasa alfa,
alipogene tiparvovec,替哌阿立泊基,alipogenum tiparvovecum,alipogène tiparvovec,alipogén tiparvovec,
alitretinoin,阿利维A酸,alitretinoinum,alitrétinoïne,alitretinoína,
alprostadil,前列地尔,alprostadilum,alprostadil,alprostadil,
